Ticker,Market Cap
AMAT,1.33809E+11
VRTX,1.15687E+11
C,1.46169E+11
CMS,20938662150
COP,1.10107E+11
IFF,19670277531
DVA,10411450000
EXC,43026410000
ULTA,20928471512
MSCI,43996526917
MA,5.35857E+11
CMG,70736610000
DXCM,33983957112
LULU,30644316947
GOOGL,2.10761E+12
MPWR,32897390400
MO,99786925698
TDG,82334768231
DLR,59558206915
PNW,10637257712
MKTX,8333619107
KMX,10032880425
KDP,44507495321
LDOS,19068413698
BK,64618024621
DUK,89563336440
IT,32522379229
NRG,30487896142
NEE,1.48551E+11
BKR,37549424053
NDAQ,49150551888
NTAP,21612474319
AWK,27311376681
DPZ,16032201946
MDLZ,85652036924
HES,42101067084
STX,26945251277
PTC,20431917110
CMCSA,1.2956E+11
MRK,1.98296E+11
CRM,2.62432E+11
JCI,68298729786
CBRE,38327340950
VRSK,44706951009
ELV,88873634256
AVGO,1.16105E+12
LYV,33744002290
TRV,62009611040
GOOG,2.12265E+12
DG,24973612936
DOC,11991076150
BLDR,12336769133
CME,98824919349
RF,19821409896
AMP,49385334898
FIS,42677840155
FTNT,80322802893
CHRW,11374393588
UAL,27509566011
IVZ,6440334956
T,2.02053E+11
MOH,16090896000
EXR,31795556300
TMUS,2.79161E+11
LKQ,10090992616
LVS,28420560302
TAP,10004830160
PM,2.82866E+11
CF,14927603704
FSLR,17840119082
UDR,13606320067
SMCI,24797773191
PODD,21940789744
DAL,33268065861
BX,1.02479E+11
BR,28819655004
ICE,1.02496E+11
V,7.07304E+11
HPQ,23650891068
PNR,16378662551
CB,1.17741E+11
MSI,69757453226
TEL,48826383365
MOS,11039631805
EXPE,22443194189
STE,23975299393
K,28469820412
LIN,2.22785E+11
DD,28512316772
VTRS,10222769906
PARA,8035960595
MTCH,7807974252
TKO,32840534915
WBD,24295416529
COO,14430739414
